household_id,region_type,gender,age,education_years,household_size,income,land_ownership,shg_membership,wellbeing_score
HH1000,Urban,Male,68,7,4,18082.0,Yes,No,52.1
HH1001,Rural,Female,64,0,4,23667.0,No,No,45.7
HH1002,Urban,Male,51,10,5,48459.0,No,No,69.2
HH1003,Urban,Male,64,8,5,18268.0,Yes,No,51.8
HH1004,Rural,Male,48,6,3,21215.0,No,No,42.3
HH1005,Urban,Male,50,6,3,37283.0,No,No,51.0
HH1006,Urban,Male,34,8,6,59973.0,Yes,No,66.0
HH1007,Urban,Male,52,12,4,48209.0,No,Yes,80.1
HH1008,Rural,Male,48,8,2,36533.0,Yes,No,46.6
HH1009,Rural,Male,32,8,5,54518.0,No,No,
HH1010,Rural,Male,47,3,5,35247.0,No,No,64.2
HH1011,Urban,Male,47,13,2,9594.0,No,No,51.6
HH1012,Rural,Male,69,4,5,20562.0,Yes,No,53.4
HH1013,Urban,Female,58,11,6,37618.0,No,No,57.6
HH1014,Rural,Male,48,7,5,11183.0,Yes,Yes,45.6
HH1015,Rural,Male,50,3,6,24285.0,Yes,No,35.8
HH1016,Rural,Male,48,6,2,54865.0,Yes,No,48.5
HH1017,Rural,Male,45,8,5,13336.0,No,No,
HH1018,Urban,Female,35,12,4,67564.0,Yes,Yes,68.2
HH1019,Rural,Male,46,7,4,13796.0,No,Yes,46.8
HH1020,Urban,Male,39,15,6,36180.0,No,No,56.0
HH1021,Rural,Male,32,9,7,74486.0,Yes,No,57.2
HH1022,Urban,Male,54,10,7,36953.0,Yes,No,59.3
HH1023,Urban,Female,52,11,7,,Yes,No,63.7
HH1024,Urban,Male,26,16,4,19863.0,No,No,
HH1025,Rural,Female,46,10,5,76121.0,No,No,75.8
HH1026,Rural,Male,59,3,6,32121.0,Yes,No,54.9
HH1027,Rural,Male,60,5,5,,No,Yes,52.5
HH1028,Rural,Male,60,11,5,51142.0,Yes,No,80.9
HH1029,Urban,Male,48,8,6,15842.0,No,No,40.3
HH1030,Urban,Male,37,7,4,62081.0,No,No,67.1
HH1031,Urban,Male,34,9,3,30565.0,No,No,71.0
HH1032,Rural,Female,52,7,4,20406.0,No,Yes,65.5
HH1033,Rural,Male,52,6,6,16406.0,No,No,35.7
HH1034,Rural,Female,63,4,5,17791.0,Yes,Yes,46.6
HH1035,Rural,Female,61,4,5,35878.0,Yes,Yes,68.9
HH1036,Rural,Male,46,5,6,29928.0,Yes,No,57.7
HH1037,Rural,Female,33,3,4,25701.0,No,No,53.4
HH1038,Rural,Male,44,13,6,32564.0,No,No,
HH1039,Urban,Male,50,11,5,54615.0,No,No,66.0
HH1040,Rural,Female,45,7,3,18132.0,No,No,55.4
HH1041,Urban,Female,41,8,7,150566.0,Yes,No,74.2
HH1042,Urban,Male,51,11,4,17386.0,No,Yes,57.5
HH1043,Rural,Male,41,5,2,52017.0,Yes,Yes,68.1
HH1044,Urban,Male,40,3,3,69436.0,Yes,No,60.3
HH1045,Urban,Female,51,5,3,17982.0,No,No,55.0
HH1046,Rural,Male,43,2,5,57636.0,No,Yes,85.1
HH1047,Rural,Male,50,0,4,25934.0,No,No,34.4
HH1048,Urban,Male,51,7,4,70964.0,Yes,No,71.8
HH1049,Rural,Male,34,11,5,29473.0,No,Yes,57.2
HH1050,Rural,Male,42,6,5,24498.0,Yes,No,58.0
HH1051,Rural,Female,65,9,5,22940.0,No,No,56.3
HH1052,Urban,Male,34,12,5,54209.0,No,No,76.2
HH1053,Urban,Male,25,13,5,128857.0,Yes,Yes,93.6
HH1054,Urban,Male,25,8,1,48802.0,Yes,No,70.7
HH1055,Urban,Male,48,12,4,34013.0,Yes,No,74.5
HH1056,Rural,Female,48,7,1,35927.0,No,No,45.4
HH1057,Rural,Male,46,6,5,35683.0,No,Yes,72.9
HH1058,Rural,Male,62,8,4,34748.0,No,No,64.3
HH1059,Rural,Male,25,8,6,36528.0,No,No,68.1
HH1060,Urban,Male,52,10,6,33416.0,No,Yes,52.8
HH1061,Rural,Female,66,2,5,13028.0,Yes,No,34.3
HH1062,Rural,Male,34,4,4,11829.0,No,Yes,46.3
HH1063,Urban,Male,43,12,5,22841.0,Yes,Yes,61.0
HH1064,Rural,Female,38,6,4,24493.0,No,No,56.9
HH1065,Rural,Male,37,4,4,18213.0,No,No,57.3
HH1066,Rural,Male,44,7,6,17923.0,No,No,35.2
HH1067,Rural,Male,65,8,4,4771.0,No,No,43.8
HH1068,Rural,Male,70,9,6,16644.0,Yes,Yes,52.7
HH1069,Rural,Male,43,11,6,53759.0,No,No,66.1
HH1070,Rural,Male,70,11,3,25855.0,Yes,Yes,52.3
HH1071,Rural,Male,48,4,6,23252.0,No,No,53.3
HH1072,Urban,Male,69,15,6,31286.0,Yes,No,46.0
HH1073,Rural,Male,46,5,5,57359.0,Yes,No,68.3
HH1074,Rural,Male,49,9,3,30534.0,Yes,No,50.0
HH1075,Rural,Male,52,7,3,34383.0,Yes,No,61.6
HH1076,Rural,Male,80,5,4,93432.0,Yes,No,69.5
HH1077,Urban,Male,58,5,5,66161.0,No,No,74.3
HH1078,Rural,Female,39,5,3,17106.0,No,Yes,50.7
HH1079,Urban,Female,59,5,5,26623.0,Yes,No,47.8
HH1080,Urban,Male,43,14,3,,Yes,Yes,72.4
HH1081,Rural,Male,42,12,4,52378.0,Yes,Yes,83.1
HH1082,Urban,Male,58,9,5,34473.0,No,Yes,67.3
HH1083,Rural,Male,48,7,8,23586.0,Yes,No,47.3
HH1084,Rural,Male,51,4,2,54872.0,Yes,No,63.1
HH1085,Rural,Male,48,5,7,24416.0,Yes,No,37.3
HH1086,Urban,Male,52,13,5,164486.0,No,No,88.4
HH1087,Rural,Male,53,6,5,29019.0,Yes,No,41.5
HH1088,Rural,Male,25,11,5,,No,No,79.6
HH1089,Rural,Male,55,5,5,24645.0,No,No,53.4
HH1090,Rural,Female,36,9,4,43714.0,No,Yes,86.4
HH1091,Urban,Male,30,11,7,27647.0,No,No,49.3
HH1092,Rural,Female,47,8,4,15157.0,No,Yes,51.9
HH1093,Rural,Male,49,5,6,33478.0,Yes,No,69.4
HH1094,Rural,Female,39,5,3,34874.0,No,No,68.7
HH1095,Rural,Female,57,5,4,20701.0,No,No,45.8
HH1096,Rural,Female,31,3,3,11365.0,Yes,No,44.5
HH1097,Rural,Female,43,7,5,,No,No,44.1
HH1098,Rural,Male,40,8,7,14198.0,Yes,No,48.5
HH1099,Urban,Male,47,13,4,17564.0,No,Yes,54.5
HH1100,Urban,Male,51,16,4,59043.0,No,Yes,78.1
HH1101,Urban,Male,35,15,3,97205.0,No,No,
HH1102,Rural,Male,56,6,4,21342.0,No,Yes,55.9
HH1103,Urban,Male,48,12,2,12614.0,No,No,58.8
HH1104,Urban,Female,25,8,3,30973.0,No,Yes,61.2
HH1105,Urban,Male,25,11,5,37657.0,No,No,51.5
HH1106,Rural,Male,47,5,7,82339.0,Yes,No,73.2
HH1107,Rural,Male,45,11,9,13022.0,No,No,49.0
HH1108,Rural,Male,46,8,4,19554.0,No,No,48.1
HH1109,Urban,Male,47,10,7,127265.0,Yes,No,74.1
HH1110,Rural,Male,50,10,5,44949.0,Yes,No,53.5
HH1111,Rural,Male,59,0,4,20448.0,No,No,37.4
HH1112,Rural,Male,34,1,5,21782.0,Yes,No,42.1
HH1113,Rural,Male,33,9,5,39627.0,Yes,No,72.7
HH1114,Rural,Male,34,7,5,44958.0,Yes,No,57.1
HH1115,Urban,Male,51,12,4,,Yes,Yes,73.2
HH1116,Urban,Male,62,7,2,67423.0,Yes,No,
HH1117,Urban,Male,42,11,2,19354.0,No,Yes,63.5
HH1118,Rural,Male,25,12,6,47401.0,Yes,No,66.1
HH1119,Rural,Female,27,7,4,25188.0,No,No,63.0
HH1120,Rural,Female,38,5,4,14427.0,No,No,42.5
HH1121,Rural,Male,41,5,5,25676.0,Yes,No,40.3
HH1122,Rural,Male,43,6,6,19602.0,Yes,Yes,40.3
HH1123,Rural,Male,48,1,5,8834.0,No,No,30.7
HH1124,Rural,Female,44,7,3,24133.0,Yes,Yes,48.7
HH1125,Rural,Male,60,10,6,19122.0,Yes,Yes,58.8
HH1126,Rural,Female,39,1,7,19022.0,No,Yes,40.5
HH1127,Rural,Male,37,5,5,10756.0,No,Yes,62.8
HH1128,Rural,Male,53,3,6,26566.0,No,No,36.0
HH1129,Rural,Male,29,4,6,12785.0,Yes,No,43.4
HH1130,Rural,Male,52,7,6,16720.0,No,No,39.4
HH1131,Urban,Male,49,5,5,20379.0,No,Yes,48.0
HH1132,Rural,Male,46,9,5,68503.0,Yes,Yes,72.9
HH1133,Rural,Female,67,7,5,27377.0,No,No,37.3
HH1134,Rural,Male,40,7,3,26091.0,Yes,Yes,61.6
HH1135,Rural,Male,72,0,6,,Yes,No,61.2
HH1136,Urban,Male,45,9,2,11463.0,No,Yes,49.1
HH1137,Rural,Male,32,10,3,34272.0,Yes,No,66.6
